MODEL;PART_NUMBER;ANALOG1;PRICE1;ANALOG2;PRICE2;
AUDI 100, 200 44-й кузов 1985-1991;AG0035;4A1422065X;2433;4A1422065V;2360;
AUDI 80/90/Avant;AG0088;893 422 066 X;2860;893 422 066;2790;
AUDI A3 I (8L1) 1996 - 2003 ZF;AG0014;1J1 422 062 EX;2577;1J1 422 062 E;2497;
AUDI A4 I /Avant (8D2,8D5, B5) 1995;AG0004;8D1422053BX;3140;8D1422053BX;3045;
AUDI A4 I /Avant (8D2,8D5, B5) 2001;AG0003;8D1 422 052 BX;3163;8D1422052BV;3068;
AUDI A4 (B6) 2001-2008 ZF;AG0038;8E1 422 052 X;3257;8E1422053K;3160;
AUDI A4 Avant IV/ 2007 ;AG0090;8T1 422 065 QX;3663;8T1 422 066 C;3587;
AUDI A5/S5 2007 — наст. Время ZF;AG0090;8T1 422 065 QX;3729;8T1 422 066 C;3629;
AUDI A6 II / A6 Avant (4B, C5) 1997;AG0023;4B1422052F;3719;4B1422052N;3634;
AUDI A6 II / A6 Avant (4B, C5) 2005;AG0024;4B1422052;3806;4B1422052EX;3725;
AUDI A6 III / A6 Avant (4F2,4F5) ;AG0036;4F1422052D;3890;4F1 422 053 A;3805;
AUDI A8 I (4D2, 4D8) 1994 -2003;AG0009;4D1 422 069 J;4137;4D1 422 052 BX;4057;
AUDI A8 II (4E) 2002 -2010;AG0009;4E5 422 065;4210;4E1 422 052 AX;4125;
AUDI Q7 (4L) 2006 -2013;AG0033;7L8 422 062 G;4790;7L8 422 061 PX;4710;
AUDI TT (8N3,8N9) 1997 -2006;AG0014;8N1 422 061 DV;3850;8N1422061D;3763;
CHEVROLET AVEO 200, AVEO 250 2003;AG0069;96535296;1440;96425091;1378;
CHEVROLET CAPTIVA (C100) 2006 ;AG0011;4818674;462;4808603;395;
CHEVROLET CAPTIVA (C100) 2008;AG0047;48 08 602;650;48 18 284;585;
CHEVROLET CRUZE;AG0070;13278338;1554;13337675;1490;
CHEVROLET SPARK 1998-2005 TRW;AG0130;96518943;1750;DK31025;1680;
CHEVROLET SPARK 2005-2008;AG0134;96438534;1662;96663816;1585;
CHEVROLET LACETTI 2004;AG0032;95961360;994;96852934;920;
CHEVROLET REZZO;AG0032;95961360;1051;96852934;980;
CHEVROLET TAHOE 2007-2011;AG0091;19207492;2205;;2138;
CHEVROLET TRAILBLAZER 2002-2008;AG0144;88962736;2100;88967181;2030;
CHEVROLET EPICA 2006/ EVANDA 2003;AG0168;96396700;1859;96442672;1785;
FORD FOCUS II (DA) 2004-2011;AG0501;1517647;1650;KBD230;1580;
FORD FOCUS III 2011-2018;AG0502;1787518;2100;KBD256;2020;
FORD MONDEO IV (BA7) 2007-2014;AG0503;1707545;2450;KBD245;2380;
FORD KUGA I 2008-2012;AG0504;1707545;2450;KBD245;2380;
OPEL ASTRA J 2009-2015;AG0601;13332768;1750;KBD335;1680;
OPEL INSIGNIA A 2008-2017;AG0601;13332768;1750;KBD335;1680;
OPEL CORSA D 2006-2014;AG0602;93186369;1250;KBD185;1190;
RENAULT LOGAN I 2004-2012;AG0701;6001549056;980;KBD120;920;
RENAULT SANDERO I 2008-2012;AG0701;6001549056;980;KBD120;920;
RENAULT DUSTER 2010-2018;AG0701;6001549056;980;KBD120;920;
RENAULT MEGANE III 2008-2016;AG0702;8200671647;1450;KBD210;1380;
NISSAN QASHQAI J10 2007-2013;AG0801;54303JD00A;1680;KBD215;1600;
NISSAN X-TRAIL T31 2007-2014;AG0801;54303JD00A;1680;KBD215;1600;
NISSAN NOTE E11 2006-2012;AG0801;54303JD00A;1680;KBD215;1600;
MITSUBISHI LANCER X 2007-2017;AG0901;MR569528;1720;KBD240;1650;
MITSUBISHI OUTLANDER XL 2006-2012;AG0901;MR569528;1720;KBD240;1650;
SKODA OCTAVIA A5 2004-2013;AG1001;1K0411301D;1550;KBD190;1480;
SKODA OCTAVIA A7 2013-2020;AG1002;5Q0411301J;1950;KBD310;1880;
VOLVO S60 II 2010-2018;AG1101;31328870;2680;KBD380;2600;
VOLVO XC60 I 2008-2017;AG1101;31328870;2680;KBD380;2600;
PEUGEOT 308 I 2007-2013;AG1201;1806F4;1650;KBD230;1580;
PEUGEOT 3008 I 2009-2016;AG1201;1806F4;1650;KBD230;1580;
CITROEN C4 I 2004-2010;AG1201;1806F4;1650;KBD230;1580;
BMW 3 E90/E91 2005-2012;AG1301;31356789123;3850;KBD510;3720;
BMW 5 E60/E61 2003-2010;AG1301;31356789123;3850;KBD510;3720;
MERCEDES C-CLASS W204 2007-2014;AG1401;2043202330;3600;KBD490;3480;
MERCEDES E-CLASS W212 2009-2016;AG1402;2123202330;4200;KBD500;4050;
VW PASSAT B6 2005-2010;AG1501;3C0411301A;1550;KBD190;1480;
VW TIGUAN I 2007-2016;AG1502;5N0411301A;1980;KBD270;1900;
TOYOTA RAV4 IV 2013-2018;AG1601;48510-42160;2950;KBD450;2850;
TOYOTA LAND CRUISER 200 2008-2018;AG1602;48510-60120;4900;KBD880;4750;
HONDA CIVIC VIII 2006-2011;AG1701;51320-SMG-E01;2050;KBD280;1980;
MAZDA 6 GG 2002-2008;AG1801;GJ6A-34-111;1850;KBD260;1770;
HYUNDAI ELANTRA MD 2011-2015;AG1901;54650-2H000;1520;KBD205;1450;
HYUNDAI ix35 2010-2015;AG1902;54650-2S000;1680;KBD225;1600;
KIA CERATO 2013-2018;AG2001;54650-2H000;1520;KBD205;1450;
KIA SPORTAGE QL 2015-2021;AG2002;54830-D9000;2680;KBD380;2600;
