brand,model,year_start,year_end,engine,part_name,part_number,price
Kia,Rio,2011,2017,1.4,Тормозные колодки передние,TRW GDB1234,3400
Kia,Rio,2011,2017,1.6,Тормозные колодки передние,TRW GDB1235,3700
Kia,Rio,2011,2017,1.4,Масляный фильтр,MAHLE OC 283,1200
Kia,Rio,2011,2017,1.6,Масляный фильтр,MAHLE OC 284,1250
Kia,Rio,2011,2017,1.4,Воздушный фильтр,BOSCH 1 987 432 001,800
Kia,Rio,2011,2017,1.6,Воздушный фильтр,BOSCH 1 987 432 002,820
Kia,Sportage,2016,2021,2.0,Тормозные колодки передние,TRW GDB2500,4200
Kia,Sportage,2016,2021,2.0,Свечи зажигания,NGK SILZKBR8D8S,1100
Toyota,Corolla,2013,2018,1.6,Тормозные колодки передние,BOSCH 0 986 490 836,3800
Toyota,Corolla,2013,2018,1.6,Масляный фильтр,TOYOTA 04152-YZZA1,1050
Toyota,Corolla,2013,2018,1.6,Воздушный фильтр,MANN C 25 014,950
Toyota,Camry,2018,2023,2.5,Тормозные колодки передние,ATE 24 066234,4400
Toyota,Camry,2018,2023,2.5,Свечи зажигания,DENSO SK20R11,1250
Volkswagen,Golf,2015,2020,1.4,Тормозные колодки передние,TEXTAR 258571,3900
Volkswagen,Golf,2015,2020,1.4,Масляный фильтр,MANN W 70/21,1300
Volkswagen,Golf,2015,2020,1.4,Воздушный фильтр,MANN C 35 013,900
Volkswagen,Passat,2015,2022,2.0,Тормозные колодки передние,TRW GDB3500,4600
Hyundai,Solaris,2012,2017,1.4,Тормозные колодки передние,NK 344315,2900
Hyundai,Solaris,2012,2017,1.6,Тормозные колодки передние,MAPCO 52715,3100
Hyundai,Creta,2016,2021,1.6,Тормозные колодки передние,FEBI 18431,3400
Hyundai,Creta,2016,2021,2.0,Тормозные колодки передние,BOSCH 0 986 490 870,3600
BMW,X5,2018,2023,3.0,Воздушный фильтр,MANN C 48 009,1650
BMW,X5,2018,2023,3.0,Масляный фильтр,MANN W 712/60,1450
BMW,3 Series,2019,2023,2.0,Тормозные колодки передние,TEXTAR 259120,5200
Audi,A6,2018,2023,2.0,Тормозные колодки передние,TEXTAR 258910,4800
Audi,A6,2018,2023,3.0,Тормозные колодки передние,ATE 24 066240,5000
Renault,Duster,2015,2022,1.6,Тормозные колодки передние,FEBI 17802,2700
Renault,Logan,2014,2020,1.6,Тормозные колодки передние,BOSCH 0 986 490 890,2600
Ford,Focus,2014,2018,1.6,Тормозные колодки передние,TRW GDB1800,3300
Ford,Focus,2014,2018,2.0,Тормозные колодки передние,BOSCH 0 986 490 900,3500
Mazda,CX-5,2017,2022,2.5,Тормозные колодки передние,ATE 24 066245,4700
Chevrolet,Cruze,2016,2020,1.4,Тормозные колодки передние,TRW GDB2000,3400
Nissan,X-Trail,2014,2020,2.0,Тормозные колодки передние,NK 345780,3800
