mark,model,year_start,year_end,engine,symptom,cause,parts,examples
Hyundai,Solaris,2011,2016,1.4,Стук в передней подвеске при проезде неровностей,Износ передних стоек стабилизатора,Стойка стабилизатора передняя,54830-4H000
Hyundai,Solaris,2011,2016,1.6,Стук в передней подвеске при проезде неровностей,Износ передних стоек стабилизатора,Стойка стабилизатора передняя,54830-4H000
Hyundai,Solaris,2011,2016,1.4,Вибрация руля при торможении,Деформация тормозных дисков,Диск тормозной передний,51712-0L100
Hyundai,Solaris,2011,2016,1.6,Вибрация руля при торможении,Деформация тормозных дисков,Диск тормозной передний,51712-0L101
Hyundai,Solaris,2011,2016,1.4,Провал педали сцепления,Износ выжимного подшипника,Выжимной подшипник,41420-02500
Hyundai,Solaris,2011,2016,1.6,Провал педали сцепления,Износ выжимного подшипника,Выжимной подшипник,41420-02501
Kia,Rio,2011,2017,1.4,Скрежет при торможении,Износ тормозных колодок,Колодки тормозные передние,TRW GDB1234
Kia,Rio,2011,2017,1.6,Скрежет при торможении,Износ тормозных колодок,Колодки тормозные передние,TRW GDB1235
Kia,Rio,2011,2017,1.4,Плавание оборотов на холостых,Загрязнение дроссельной заслонки,Очистка дроссельной заслонки,-
Kia,Rio,2011,2017,1.4,Двигатель глохнет на холостых,Неисправность датчика холостого хода,Датчик холостого хода,35100-22600
Kia,Rio,2011,2017,1.6,Двигатель глохнет при нажатии газа,Низкое давление топлива,Топливный насос,31110-1R000
Kia,Sportage,2016,2021,2.0,Шум при повороте руля,Утечка жидкости ГУР,Насос ГУР,57100-2S100
Kia,Sportage,2016,2021,2.0,Толчки при переключении передач,Загрязнение масла АКПП,Масло АКПП,04500-00115
Volkswagen,Golf,2015,2020,1.4,Стук в подвеске сзади,Износ задних амортизаторов,Амортизатор задний,1K0513031H
Volkswagen,Golf,2015,2020,1.4,Затрудненный пуск двигателя,Слабая аккумуляторная батарея,Аккумулятор,000915105DE
Volkswagen,Passat,2015,2022,2.0,Дребезг при включении кондиционера,Загрязнение вентилятора отопителя,Вентилятор отопителя,3C0959799A
Volkswagen,Passat,2015,2022,2.0,Не работает электростеклоподъемник,Перегорание предохранителя,Предохранитель,-
Toyota,Corolla,2013,2018,1.6,Скрежет при запуске двигателя,Износ стартера,Стартер,28100-0T010
Toyota,Camry,2018,2023,2.5,Запах гари при торможении,Заклинивание суппорта,Ремкомплект суппорта,0491242010
Toyota,Camry,2018,2023,2.5,Вибрация кузова при скорости 100-120 км/ч,Дисбаланс колес,Балансировка колес,-
BMW,X5,2018,2023,3.0,Дребезг при включении кондиционера,Загрязнение вентилятора отопителя,Вентилятор отопителя,64119207148
BMW,X5,2018,2023,3.0,Синий дым из выхлопной трубы,Износ маслосъемных колпачков,Колпачки маслосъемные,11340031646
BMW,3 Series,2019,2023,2.0,Плавающие обороты,Неисправность клапана PCV,Клапан PCV,11127570247
Ford,Focus,2014,2018,1.6,Гул в районе переднего колеса,Износ ступичного подшипника,Подшипник ступицы,1724634
Ford,Focus,2014,2018,2.0,Потеря мощности,Засор катализатора,Катализатор,1461009
Mazda,CX-5,2017,2022,2.5,Скрежет при включении кондиционера,Износ муфты компрессора,Муфта компрессора,KD45-61-450
Nissan,X-Trail,2014,2020,2.0,Дребезг при движении по неровностям,Износ опоры двигателя,Опора двигателя,11220-4BA0A
Nissan,X-Trail,2014,2020,2.0,Прогретый двигатель работает неровно,Загрязнение форсунок,Очистка форсунок,-
Renault,Duster,2015,2022,1.6,Стук в рулевой рейке при повороте,Износ втулки рулевой рейки,Втулка рулевой рейки,7701475876
Renault,Logan,2014,2020,1.6,Провал при разгоне,Низкое давление топлива,Фильтр топливный,8200480425
Skoda,Octavia,2015,2020,1.4,Вибрация руля на холостых,Загрязнение дроссельной заслонки,Очистка дроссельной заслонки,-
Audi,A6,2018,2023,2.0,Скрежет при закрытии стекла,Неисправность стеклоподъемника,Стеклоподъемник,4G0837462
Audi,A6,2018,2023,3.0,Проблемы с запуском в мороз,Низкая плотность аккумулятора,Аккумулятор,000915105CC
Mercedes-Benz,E-Class,2016,2021,2.0,Синий дым после запуска,Износ турбокомпрессора,Турбокомпрессор,A2730901080
Mercedes-Benz,E-Class,2016,2021,2.0,Свист при наборе оборотов,Негерметичность впускного коллектора,Впускной коллектор,A2761400700
Chevrolet,Cruze,2016,2020,1.4,Толчки при разгоне,Пропуски зажигания,Свечи зажигания,55570534
Chevrolet,Cruze,2016,2020,1.4,Загорается чек на холостых,Неисправность датчика кислорода,Датчик кислорода,55570535
